loc,length,bug type,approach
51,2,Unhandled-Exceptions,code snippet injection
34,9,Unhandled-Exceptions,code snippet injection
24,9,Unhandled-Exceptions,code snippet injection
309,3,Unhandled-Exceptions,code snippet injection
297,3,Unhandled-Exceptions,code snippet injection
282,2,Unhandled-Exceptions,code snippet injection
264,9,Unhandled-Exceptions,code snippet injection
217,3,Unhandled-Exceptions,code snippet injection
208,3,Unhandled-Exceptions,code snippet injection
181,9,Unhandled-Exceptions,code snippet injection
169,5,Unhandled-Exceptions,code snippet injection
161,3,Unhandled-Exceptions,code snippet injection
147,9,Unhandled-Exceptions,code snippet injection
133,9,Unhandled-Exceptions,code snippet injection
125,3,Unhandled-Exceptions,code snippet injection
71,2,Unhandled-Exceptions,code snippet injection
224,3,Unhandled-Exceptions,code snippet injection
19,3,Unhandled-Exceptions,code snippet injection
9,3,Unhandled-Exceptions,code snippet injection
