loc,length,bug type,approach
66,3,Unhandled+AC0-Exceptions,code snippet injection
79,3,Unhandled+AC0-Exceptions,code snippet injection
89,3,Unhandled+AC0-Exceptions,code snippet injection
92,2,Unhandled+AC0-Exceptions,code snippet injection
113,3,Unhandled+AC0-Exceptions,code snippet injection
151,2,Unhandled+AC0-Exceptions,code snippet injection
193,3,Unhandled+AC0-Exceptions,code snippet injection
213,9,Unhandled+AC0-Exceptions,code snippet injection
223,3,Unhandled+AC0-Exceptions,code snippet injection
227,3,Unhandled+AC0-Exceptions,code snippet injection
231,2,Unhandled+AC0-Exceptions,code snippet injection
234,9,Unhandled+AC0-Exceptions,code snippet injection
244,5,Unhandled+AC0-Exceptions,code snippet injection
257,5,Unhandled+AC0-Exceptions,code snippet injection
263,3,Unhandled+AC0-Exceptions,code snippet injection
267,5,Unhandled+AC0-Exceptions,code snippet injection
273,3,Unhandled+AC0-Exceptions,code snippet injection
277,3,Unhandled+AC0-Exceptions,code snippet injection
366,3,Unhandled+AC0-Exceptions,code snippet injection
401,9,Unhandled+AC0-Exceptions,code snippet injection
415,9,Unhandled+AC0-Exceptions,code snippet injection
429,3,Unhandled+AC0-Exceptions,code snippet injection
436,5,Unhandled+AC0-Exceptions,code snippet injection
449,9,Unhandled+AC0-Exceptions,code snippet injection
476,3,Unhandled+AC0-Exceptions,code snippet injection
487,3,Unhandled+AC0-Exceptions,code snippet injection
529,9,Unhandled+AC0-Exceptions,code snippet injection
553,2,Unhandled+AC0-Exceptions,code snippet injection
577,3,Unhandled+AC0-Exceptions,code snippet injection
589,3,Unhandled+AC0-Exceptions,code snippet injection
605,9,Unhandled+AC0-Exceptions,code snippet injection
622,9,Unhandled+AC0-Exceptions,code snippet injection
