loc,length,bug type,approach
156,2,Unhandled-Exceptions,code snippet injection
133,9,Unhandled-Exceptions,code snippet injection
96,9,Unhandled-Exceptions,code snippet injection
92,3,Unhandled-Exceptions,code snippet injection
88,3,Unhandled-Exceptions,code snippet injection
85,2,Unhandled-Exceptions,code snippet injection
74,9,Unhandled-Exceptions,code snippet injection
60,3,Unhandled-Exceptions,code snippet injection
56,3,Unhandled-Exceptions,code snippet injection
39,9,Unhandled-Exceptions,code snippet injection
33,5,Unhandled-Exceptions,code snippet injection
29,3,Unhandled-Exceptions,code snippet injection
