loc,length,bug type,approach
252,2,Unhandled-Exceptions,code snippet injection
204,9,Unhandled-Exceptions,code snippet injection
176,9,Unhandled-Exceptions,code snippet injection
158,3,Unhandled-Exceptions,code snippet injection
139,3,Unhandled-Exceptions,code snippet injection
124,2,Unhandled-Exceptions,code snippet injection
94,9,Unhandled-Exceptions,code snippet injection
42,3,Unhandled-Exceptions,code snippet injection
36,3,Unhandled-Exceptions,code snippet injection
19,9,Unhandled-Exceptions,code snippet injection
13,5,Unhandled-Exceptions,code snippet injection
