loc,length,bug type,approach
10,2,Unhandled-Exceptions,code snippet injection
409,9,Unhandled-Exceptions,code snippet injection
392,9,Unhandled-Exceptions,code snippet injection
379,3,Unhandled-Exceptions,code snippet injection
336,3,Unhandled-Exceptions,code snippet injection
330,2,Unhandled-Exceptions,code snippet injection
317,9,Unhandled-Exceptions,code snippet injection
278,8,Unhandled-Exceptions,code snippet injection
269,3,Unhandled-Exceptions,code snippet injection
212,3,Unhandled-Exceptions,code snippet injection
138,9,Unhandled-Exceptions,code snippet injection
129,5,Unhandled-Exceptions,code snippet injection
122,3,Unhandled-Exceptions,code snippet injection
109,9,Unhandled-Exceptions,code snippet injection
94,9,Unhandled-Exceptions,code snippet injection
85,3,Unhandled-Exceptions,code snippet injection
19,2,Unhandled-Exceptions,code snippet injection
250,3,Unhandled-Exceptions,code snippet injection
33,3,Unhandled-Exceptions,code snippet injection
