loc,length,bug type,approach
210,2,Unhandled-Exceptions,code snippet injection
559,9,Unhandled-Exceptions,code snippet injection
545,9,Unhandled-Exceptions,code snippet injection
537,3,Unhandled-Exceptions,code snippet injection
529,3,Unhandled-Exceptions,code snippet injection
522,2,Unhandled-Exceptions,code snippet injection
507,9,Unhandled-Exceptions,code snippet injection
493,8,Unhandled-Exceptions,code snippet injection
482,3,Unhandled-Exceptions,code snippet injection
475,3,Unhandled-Exceptions,code snippet injection
448,9,Unhandled-Exceptions,code snippet injection
436,5,Unhandled-Exceptions,code snippet injection
377,3,Unhandled-Exceptions,code snippet injection
361,9,Unhandled-Exceptions,code snippet injection
346,9,Unhandled-Exceptions,code snippet injection
286,3,Unhandled-Exceptions,code snippet injection
251,2,Unhandled-Exceptions,code snippet injection
151,3,Unhandled-Exceptions,code snippet injection
144,3,Unhandled-Exceptions,code snippet injection
128,3,Unhandled-Exceptions,code snippet injection
85,8,Unhandled-Exceptions,code snippet injection
69,3,Unhandled-Exceptions,code snippet injection
232,3,Unhandled-Exceptions,code snippet injection
206,3,Unhandled-Exceptions,code snippet injection
200,5,Unhandled-Exceptions,code snippet injection
196,3,Unhandled-Exceptions,code snippet injection
190,5,Unhandled-Exceptions,code snippet injection
177,5,Unhandled-Exceptions,code snippet injection
167,9,Unhandled-Exceptions,code snippet injection
163,2,Unhandled-Exceptions,code snippet injection
159,3,Unhandled-Exceptions,code snippet injection
118,3,Unhandled-Exceptions,code snippet injection
108,9,Unhandled-Exceptions,code snippet injection
99,8,Unhandled-Exceptions,code snippet injection
53,3,Unhandled-Exceptions,code snippet injection
