loc,length,bug type,approach
260,2,Unhandled-Exceptions,code snippet injection
235,9,Unhandled-Exceptions,code snippet injection
221,9,Unhandled-Exceptions,code snippet injection
214,3,Unhandled-Exceptions,code snippet injection
207,3,Unhandled-Exceptions,code snippet injection
194,2,Unhandled-Exceptions,code snippet injection
177,9,Unhandled-Exceptions,code snippet injection
97,8,Unhandled-Exceptions,code snippet injection
93,3,Unhandled-Exceptions,code snippet injection
89,3,Unhandled-Exceptions,code snippet injection
29,9,Unhandled-Exceptions,code snippet injection
164,5,Unhandled-Exceptions,code snippet injection
143,3,Unhandled-Exceptions,code snippet injection
133,9,Unhandled-Exceptions,code snippet injection
122,9,Unhandled-Exceptions,code snippet injection
118,3,Unhandled-Exceptions,code snippet injection
8,2,Unhandled-Exceptions,code snippet injection
