loc,length,bug type,approach
250,2,Unhandled-Exceptions,code snippet injection
233,9,Unhandled-Exceptions,code snippet injection
42,9,Unhandled-Exceptions,code snippet injection
38,3,Unhandled-Exceptions,code snippet injection
556,3,Unhandled-Exceptions,code snippet injection
500,2,Unhandled-Exceptions,code snippet injection
464,9,Unhandled-Exceptions,code snippet injection
430,8,Unhandled-Exceptions,code snippet injection
405,3,Unhandled-Exceptions,code snippet injection
365,3,Unhandled-Exceptions,code snippet injection
310,9,Unhandled-Exceptions,code snippet injection
113,5,Unhandled-Exceptions,code snippet injection
109,3,Unhandled-Exceptions,code snippet injection
99,9,Unhandled-Exceptions,code snippet injection
89,9,Unhandled-Exceptions,code snippet injection
85,3,Unhandled-Exceptions,code snippet injection
58,2,Unhandled-Exceptions,code snippet injection
19,3,Unhandled-Exceptions,code snippet injection
228,3,Unhandled-Exceptions,code snippet injection
217,3,Unhandled-Exceptions,code snippet injection
208,8,Unhandled-Exceptions,code snippet injection
204,3,Unhandled-Exceptions,code snippet injection
196,3,Unhandled-Exceptions,code snippet injection
192,3,Unhandled-Exceptions,code snippet injection
9,5,Unhandled-Exceptions,code snippet injection
