loc,length,bug type,approach
619,2,Unhandled-Exceptions,code snippet injection
504,3,Unhandled-Exceptions,code snippet injection
484,3,Unhandled-Exceptions,code snippet injection
464,2,Unhandled-Exceptions,code snippet injection
417,3,Unhandled-Exceptions,code snippet injection
401,3,Unhandled-Exceptions,code snippet injection
361,5,Unhandled-Exceptions,code snippet injection
310,3,Unhandled-Exceptions,code snippet injection
257,3,Unhandled-Exceptions,code snippet injection
26,2,Unhandled-Exceptions,code snippet injection
186,3,Unhandled-Exceptions,code snippet injection
182,3,Unhandled-Exceptions,code snippet injection
171,3,Unhandled-Exceptions,code snippet injection
156,3,Unhandled-Exceptions,code snippet injection
147,3,Unhandled-Exceptions,code snippet injection
142,3,Unhandled-Exceptions,code snippet injection
9,5,Unhandled-Exceptions,code snippet injection
