loc,length,bug type,approach
86,2,Unhandled-Exceptions,code snippet injection
428,3,Unhandled-Exceptions,code snippet injection
417,3,Unhandled-Exceptions,code snippet injection
411,2,Unhandled-Exceptions,code snippet injection
318,3,Unhandled-Exceptions,code snippet injection
297,3,Unhandled-Exceptions,code snippet injection
257,5,Unhandled-Exceptions,code snippet injection
251,3,Unhandled-Exceptions,code snippet injection
137,3,Unhandled-Exceptions,code snippet injection
396,2,Unhandled-Exceptions,code snippet injection
191,3,Unhandled-Exceptions,code snippet injection
187,3,Unhandled-Exceptions,code snippet injection
81,3,Unhandled-Exceptions,code snippet injection
