loc,length,bug type,approach
107,2,Unhandled-Exceptions,code snippet injection
421,3,Unhandled-Exceptions,code snippet injection
411,3,Unhandled-Exceptions,code snippet injection
401,2,Unhandled-Exceptions,code snippet injection
366,3,Unhandled-Exceptions,code snippet injection
347,3,Unhandled-Exceptions,code snippet injection
312,5,Unhandled-Exceptions,code snippet injection
295,3,Unhandled-Exceptions,code snippet injection
256,3,Unhandled-Exceptions,code snippet injection
212,2,Unhandled-Exceptions,code snippet injection
118,3,Unhandled-Exceptions,code snippet injection
79,3,Unhandled-Exceptions,code snippet injection
69,3,Unhandled-Exceptions,code snippet injection
56,3,Unhandled-Exceptions,code snippet injection
195,3,Unhandled-Exceptions,code snippet injection
190,3,Unhandled-Exceptions,code snippet injection
183,5,Unhandled-Exceptions,code snippet injection
179,3,Unhandled-Exceptions,code snippet injection
173,5,Unhandled-Exceptions,code snippet injection
159,5,Unhandled-Exceptions,code snippet injection
104,2,Unhandled-Exceptions,code snippet injection
