loc,length,bug type,approach
392,2,Unhandled-Exceptions,code snippet injection
317,3,Unhandled-Exceptions,code snippet injection
299,3,Unhandled-Exceptions,code snippet injection
286,2,Unhandled-Exceptions,code snippet injection
238,3,Unhandled-Exceptions,code snippet injection
227,3,Unhandled-Exceptions,code snippet injection
144,5,Unhandled-Exceptions,code snippet injection
112,3,Unhandled-Exceptions,code snippet injection
65,3,Unhandled-Exceptions,code snippet injection
211,2,Unhandled-Exceptions,code snippet injection
202,3,Unhandled-Exceptions,code snippet injection
198,3,Unhandled-Exceptions,code snippet injection
188,3,Unhandled-Exceptions,code snippet injection
122,3,Unhandled-Exceptions,code snippet injection
