loc,length,bug type,approach
22,3,Unhandled-Exceptions,code snippet injection
46,9,Unhandled-Exceptions,code snippet injection
61,2,Unhandled-Exceptions,code snippet injection
68,3,Unhandled-Exceptions,code snippet injection
88,3,Unhandled-Exceptions,code snippet injection
92,5,Unhandled-Exceptions,code snippet injection
104,9,Unhandled-Exceptions,code snippet injection
120,3,Unhandled-Exceptions,code snippet injection
132,3,Unhandled-Exceptions,code snippet injection
143,9,Unhandled-Exceptions,code snippet injection
164,9,Unhandled-Exceptions,code snippet injection
189,2,Unhandled-Exceptions,code snippet injection
