loc,length,bug type,approach
777,2,Unhandled-Exceptions,code snippet injection
934,3,Unhandled-Exceptions,code snippet injection
919,3,Unhandled-Exceptions,code snippet injection
911,2,Unhandled-Exceptions,code snippet injection
844,3,Unhandled-Exceptions,code snippet injection
836,3,Unhandled-Exceptions,code snippet injection
804,5,Unhandled-Exceptions,code snippet injection
792,3,Unhandled-Exceptions,code snippet injection
741,3,Unhandled-Exceptions,code snippet injection
656,2,Unhandled-Exceptions,code snippet injection
613,3,Unhandled-Exceptions,code snippet injection
600,3,Unhandled-Exceptions,code snippet injection
553,3,Unhandled-Exceptions,code snippet injection
498,3,Unhandled-Exceptions,code snippet injection
468,3,Unhandled-Exceptions,code snippet injection
460,3,Unhandled-Exceptions,code snippet injection
449,5,Unhandled-Exceptions,code snippet injection
432,3,Unhandled-Exceptions,code snippet injection
422,5,Unhandled-Exceptions,code snippet injection
385,5,Unhandled-Exceptions,code snippet injection
359,2,Unhandled-Exceptions,code snippet injection
341,3,Unhandled-Exceptions,code snippet injection
333,3,Unhandled-Exceptions,code snippet injection
298,3,Unhandled-Exceptions,code snippet injection
