loc,length,bug type,approach
284,2,Unhandled-Exceptions,code snippet injection
208,9,Unhandled-Exceptions,code snippet injection
173,9,Unhandled-Exceptions,code snippet injection
161,3,Unhandled-Exceptions,code snippet injection
150,3,Unhandled-Exceptions,code snippet injection
133,2,Unhandled-Exceptions,code snippet injection
117,9,Unhandled-Exceptions,code snippet injection
239,8,Unhandled-Exceptions,code snippet injection
235,3,Unhandled-Exceptions,code snippet injection
198,3,Unhandled-Exceptions,code snippet injection
