loc,length,bug type,approach
309,2,Unhandled-Exceptions,code snippet injection
241,3,Unhandled-Exceptions,code snippet injection
231,3,Unhandled-Exceptions,code snippet injection
223,2,Unhandled-Exceptions,code snippet injection
176,3,Unhandled-Exceptions,code snippet injection
169,3,Unhandled-Exceptions,code snippet injection
94,5,Unhandled-Exceptions,code snippet injection
87,3,Unhandled-Exceptions,code snippet injection
142,3,Unhandled-Exceptions,code snippet injection
121,2,Unhandled-Exceptions,code snippet injection
64,3,Unhandled-Exceptions,code snippet injection
60,3,Unhandled-Exceptions,code snippet injection
