loc,length,bug type,approach
261,2,Unhandled-Exceptions,code snippet injection
215,3,Unhandled-Exceptions,code snippet injection
208,3,Unhandled-Exceptions,code snippet injection
195,2,Unhandled-Exceptions,code snippet injection
93,3,Unhandled-Exceptions,code snippet injection
89,3,Unhandled-Exceptions,code snippet injection
164,5,Unhandled-Exceptions,code snippet injection
143,3,Unhandled-Exceptions,code snippet injection
118,3,Unhandled-Exceptions,code snippet injection
8,2,Unhandled-Exceptions,code snippet injection
