loc,length,bug type,approach
464,2,Unhandled-Exceptions,code snippet injection
368,3,Unhandled-Exceptions,code snippet injection
352,3,Unhandled-Exceptions,code snippet injection
336,2,Unhandled-Exceptions,code snippet injection
273,3,Unhandled-Exceptions,code snippet injection
255,3,Unhandled-Exceptions,code snippet injection
193,5,Unhandled-Exceptions,code snippet injection
180,3,Unhandled-Exceptions,code snippet injection
441,3,Unhandled-Exceptions,code snippet injection
125,2,Unhandled-Exceptions,code snippet injection
