loc,length,bug type,approach
293,2,Unhandled-Exceptions,code snippet injection
214,3,Unhandled-Exceptions,code snippet injection
206,3,Unhandled-Exceptions,code snippet injection
195,2,Unhandled-Exceptions,code snippet injection
158,3,Unhandled-Exceptions,code snippet injection
150,3,Unhandled-Exceptions,code snippet injection
114,5,Unhandled-Exceptions,code snippet injection
104,3,Unhandled-Exceptions,code snippet injection
40,3,Unhandled-Exceptions,code snippet injection
10,2,Unhandled-Exceptions,code snippet injection
