loc,length,bug type,approach
912,2,Unhandled-Exceptions,code snippet injection
771,3,Unhandled-Exceptions,code snippet injection
763,3,Unhandled-Exceptions,code snippet injection
743,2,Unhandled-Exceptions,code snippet injection
695,3,Unhandled-Exceptions,code snippet injection
669,3,Unhandled-Exceptions,code snippet injection
561,5,Unhandled-Exceptions,code snippet injection
549,3,Unhandled-Exceptions,code snippet injection
473,3,Unhandled-Exceptions,code snippet injection
402,2,Unhandled-Exceptions,code snippet injection
362,3,Unhandled-Exceptions,code snippet injection
340,3,Unhandled-Exceptions,code snippet injection
330,3,Unhandled-Exceptions,code snippet injection
317,3,Unhandled-Exceptions,code snippet injection
308,3,Unhandled-Exceptions,code snippet injection
304,3,Unhandled-Exceptions,code snippet injection
298,5,Unhandled-Exceptions,code snippet injection
294,3,Unhandled-Exceptions,code snippet injection
288,5,Unhandled-Exceptions,code snippet injection
275,5,Unhandled-Exceptions,code snippet injection
262,2,Unhandled-Exceptions,code snippet injection
257,3,Unhandled-Exceptions,code snippet injection
251,3,Unhandled-Exceptions,code snippet injection
226,3,Unhandled-Exceptions,code snippet injection
